Date,Time,Number of Insects,New Catches,Event,Location,Average Temperature,Temp_low,Temp_high,Average Humidity,Day Avg_temp,Day Min_temp,Day Max_temp,Day Avg_Humidity,Temp_change
2024-07-06,06:01:00,0.0,0.0,0,Cicalino1,13.91,13.6,14.4,97.65,22.34,13.6,30.6,72.25,17.0
2024-07-07,06:04:00,0.0,0.0,0,Cicalino1,20.78,20.1,21.2,83.49,23.52,18.7,30.2,76.73,11.5
2024-07-08,06:03:00,0.0,0.0,0,Cicalino1,19.03,18.7,19.5,96.87,25.67,18.3,33.9,69.14,15.6
2024-07-09,06:05:00,0.0,0.0,1,Cicalino1,15.33,15.0,15.7,82.29,25.87,15.0,36.0,53.65,21.0
2024-07-10,06:03:00,0.0,0.0,0,Cicalino1,15.48,15.0,16.0,87.12,26.41,15.0,36.2,58.94,21.2
2024-07-11,06:01:00,0.0,0.0,0,Cicalino1,16.21,16.0,16.5,74.55,26.22,14.4,35.9,55.21,21.5
2024-07-12,06:05:00,0.0,0.0,0,Cicalino1,16.58,16.4,16.9,86.98,26.36,15.6,36.5,57.51,20.9
2024-07-13,06:02:00,0.0,0.0,0,Cicalino1,18.87,18.7,19.2,96.14,25.7,17.5,35.6,68.39,18.1
2024-07-14,06:01:00,1.0,1.0,0,Cicalino1,17.46,17.4,17.7,96.5,26.19,16.2,36.9,68.05,20.7
2024-07-15,06:04:00,1.0,0.0,0,Cicalino1,16.41,16.2,16.7,87.13,27.14,15.7,38.0,56.96,22.3
2024-07-16,06:03:00,2.0,1.0,1,Cicalino1,16.08,15.9,16.3,83.29,26.47,15.2,36.3,56.07,21.1
2024-07-17,06:02:00,1.0,1.0,0,Cicalino1,17.31,17.0,18.0,81.1,27.55,16.2,37.3,55.4,21.1
2024-07-18,06:01:00,1.0,0.0,0,Cicalino1,15.59,15.4,16.0,78.41,26.96,14.5,38.3,52.74,23.8
2024-07-19,06:04:00,1.0,0.0,0,Cicalino1,18.1,18.0,18.3,75.98,27.8,16.9,38.3,54.52,21.4
2024-07-20,06:02:00,1.0,0.0,1,Cicalino1,22.45,22.0,23.2,85.91,26.82,16.9,34.5,63.68,17.6
2024-07-21,06:02:00,1.0,1.0,0,Cicalino1,17.79,17.6,18.1,94.9,26.83,17.3,37.1,66.86,19.8
2024-07-22,06:00:00,2.0,1.0,0,Cicalino1,21.03,20.6,21.5,89.11,25.37,19.4,35.0,71.6,15.6
2024-07-23,06:04:00,0.0,0.0,0,Cicalino1,18.01,17.9,18.2,96.93,27.02,17.9,35.9,65.69,18.0
2024-07-24,06:02:00,0.0,0.0,0,Cicalino1,19.25,19.0,19.6,87.98,28.0,18.6,36.2,62.04,17.6
2024-07-25,06:01:00,1.0,1.0,0,Cicalino1,22.29,21.4,22.9,69.03,28.51,19.8,37.3,58.35,17.5
2024-07-26,06:01:00,1.0,0.0,0,Cicalino1,18.47,18.3,18.7,91.64,27.72,18.1,37.8,65.43,19.7
2024-07-27,06:05:00,1.0,0.0,0,Cicalino1,18.07,17.9,18.3,97.25,27.51,17.3,38.1,63.42,20.8
2024-07-28,06:03:00,3.0,2.0,1,Cicalino1,17.06,16.8,17.3,90.43,27.36,16.2,38.0,57.75,21.8
2024-07-29,06:04:00,0.0,0.0,0,Cicalino1,17.66,17.4,17.8,73.17,28.64,16.9,41.0,51.79,24.1
2024-07-30,06:02:00,0.0,0.0,0,Cicalino1,22.52,21.9,23.2,70.92,30.59,20.0,40.0,45.54,20.0
2024-07-31,06:00:00,0.0,0.0,0,Cicalino1,19.6,19.5,19.9,80.9,29.83,19.0,39.8,51.92,20.8
2024-08-01,06:04:00,0.0,0.0,0,Cicalino1,18.73,18.4,19.0,70.76,28.16,17.7,38.9,53.07,21.2
2024-08-02,06:03:00,0.0,0.0,1,Cicalino1,19.35,19.2,19.6,95.65,27.77,19.1,37.8,68.94,18.7
2024-08-03,06:03:00,0.0,0.0,1,Cicalino1,22.22,21.7,22.7,93.04,27.31,20.7,38.7,73.08,18.0
2024-08-04,06:04:00,0.0,0.0,0,Cicalino1,18.45,18.4,18.7,97.11,27.27,18.4,37.4,65.01,19.0
2024-08-05,06:01:00,0.0,0.0,0,Cicalino1,19.4,19.2,19.7,78.42,28.41,18.5,37.9,56.92,19.4
2024-08-06,06:00:00,1.0,1.0,0,Cicalino1,18.55,18.5,18.8,95.12,27.47,18.1,37.7,64.73,19.6
2024-08-07,06:04:00,1.0,0.0,0,Cicalino1,17.93,17.8,18.2,92.38,27.02,17.5,36.9,63.87,19.4
2024-08-08,06:03:00,1.0,0.0,0,Cicalino1,16.94,16.8,17.2,83.96,26.99,16.4,36.3,62.64,19.9
2024-08-09,06:01:00,1.0,0.0,1,Cicalino1,19.1,18.8,19.2,97.0,28.18,18.7,37.8,63.15,19.1
2024-08-10,06:00:00,0.0,0.0,0,Cicalino1,20.05,19.9,20.3,72.21,29.91,19.4,40.2,50.72,20.8
2024-08-11,06:04:00,0.0,0.0,0,Cicalino1,20.61,20.5,20.9,83.61,30.01,20.0,40.5,56.29,20.5
2024-08-12,06:03:00,0.0,0.0,0,Cicalino1,21.15,21.0,21.3,81.1,30.04,20.9,40.4,52.56,19.5
2024-08-13,06:03:00,0.0,0.0,0,Cicalino1,20.14,20.0,20.5,59.71,29.18,19.4,39.3,49.48,19.9
2024-08-14,06:01:00,0.0,0.0,0,Cicalino1,19.74,19.5,19.9,91.38,28.17,19.0,38.0,63.27,19.0
2024-08-15,06:00:00,0.0,0.0,1,Cicalino1,19.24,19.0,19.5,87.05,26.15,18.8,38.0,64.67,19.2
2024-08-16,06:00:00,0.0,0.0,0,Cicalino1,19.84,19.7,20.1,84.98,27.57,19.6,38.7,61.19,19.1
2024-08-17,06:04:00,0.0,0.0,0,Cicalino1,19.95,19.3,20.5,86.32,27.44,19.1,36.4,63.23,17.3
2024-08-18,06:03:00,0.0,0.0,0,Cicalino1,19.82,19.7,20.1,96.35,23.56,19.2,33.8,81.61,14.6
2024-08-19,06:02:00,0.0,0.0,0,Cicalino1,18.38,18.1,18.8,92.02,23.15,18.1,32.9,75.22,14.8
2024-08-20,06:00:00,0.0,0.0,0,Cicalino1,16.92,16.8,17.1,97.92,24.37,16.8,33.2,72.15,16.4
2024-08-21,06:03:00,0.0,0.0,1,Cicalino1,19.67,19.4,19.9,96.38,26.21,19.0,34.0,69.4,15.0
2024-08-22,06:04:00,0.0,0.0,0,Cicalino1,18.64,18.5,18.8,87.18,26.88,18.4,36.5,64.01,18.1
2024-08-23,06:03:00,0.0,0.0,0,Cicalino1,18.36,18.3,18.4,93.3,19.66,18.3,21.3,88.44,3.0
2024-07-05,11:31:01,0.0,0.0,0,Cicalino2,16.69,16.3,17.0,89.48,27.14,15.7,38.0,56.96,22.3
2024-07-06,03:02:01,0.0,0.0,0,Cicalino2,19.134999999999998,18.75,19.4,86.48,27.295,18.55,37.8,62.53,19.25
2024-07-07,03:04:01,0.0,0.0,0,Cicalino2,18.845,18.5,19.1,85.265,28.575000000000003,17.85,39.25,56.625,21.4
2024-07-08,03:01:01,0.0,0.0,1,Cicalino2,16.535,16.2,16.85,88.945,26.575000000000003,15.35,37.599999999999994,60.394999999999996,22.25
2024-07-09,03:00:01,0.0,0.0,1,Cicalino2,21.64,21.25,22.0,82.08500000000001,27.735,19.2,38.8,63.075,19.6
2024-07-11,03:00:00,0.0,0.0,1,Cicalino2,15.47,15.4,15.6,87.32,26.22,14.4,35.9,55.21,21.5
2024-07-12,03:03:00,0.0,0.0,0,Cicalino2,16.69,16.3,17.2,85.05,26.36,15.6,36.5,57.51,20.9
2024-07-13,03:03:00,0.0,0.0,0,Cicalino2,19.06,18.9,19.3,87.98,25.7,17.5,35.6,68.39,18.1
2024-07-14,03:01:00,0.0,0.0,0,Cicalino2,16.8,16.5,17.1,95.61,26.19,16.2,36.9,68.05,20.7
2024-07-15,03:05:00,0.0,0.0,0,Cicalino2,16.69,16.3,17.0,89.48,27.14,15.7,38.0,56.96,22.3
2024-07-16,03:04:00,0.0,0.0,0,Cicalino2,16.72,16.4,17.0,83.55,26.47,15.2,36.3,56.07,21.1
2024-07-17,03:03:00,0.0,0.0,0,Cicalino2,19.23,18.0,20.0,75.22,27.55,16.2,37.3,55.4,21.1
2024-07-18,03:02:00,0.0,0.0,1,Cicalino2,16.27,15.9,16.6,82.28,26.96,14.5,38.3,52.74,23.8
2024-07-19,03:04:00,1.0,1.0,0,Cicalino2,17.07,16.9,17.3,73.51,27.8,16.9,38.3,54.52,21.4
2024-07-20,03:03:00,2.0,1.0,0,Cicalino2,17.86,17.0,18.9,86.49,26.82,16.9,34.5,63.68,17.6
2024-07-21,03:02:00,2.0,0.0,0,Cicalino2,18.34,17.7,19.1,90.36,26.83,17.3,37.1,66.86,19.8
2024-07-22,03:00:00,2.0,0.0,0,Cicalino2,21.78,21.4,22.2,80.65,25.37,19.4,35.0,71.6,15.6
2024-07-23,03:01:00,2.0,0.0,1,Cicalino2,19.18,19.1,19.3,92.51,27.02,17.9,35.9,65.69,18.0
2024-07-24,03:02:00,1.0,1.0,1,Cicalino2,20.43,19.7,22.2,78.58,28.0,18.6,36.2,62.04,17.6
2024-07-25,03:03:00,1.0,1.0,0,Cicalino2,19.98,19.8,20.2,92.9,28.51,19.8,37.3,58.35,17.5
2024-07-26,03:02:00,1.0,0.0,0,Cicalino2,19.05,18.6,19.5,90.75,27.72,18.1,37.8,65.43,19.7
2024-07-27,03:01:00,1.0,0.0,0,Cicalino2,18.49,18.2,18.8,96.44,27.51,17.3,38.1,63.42,20.8
2024-07-28,03:00:00,0.0,0.0,1,Cicalino2,16.75,16.4,17.1,91.54,27.36,16.2,38.0,57.75,21.8
2024-07-29,03:00:00,0.0,0.0,0,Cicalino2,18.25,18.0,18.7,64.62,28.64,16.9,41.0,51.79,24.1
2024-07-30,03:04:00,0.0,0.0,0,Cicalino2,24.55,23.2,26.7,67.91,30.59,20.0,40.0,45.54,20.0
2024-07-31,03:03:00,0.0,0.0,0,Cicalino2,21.0,20.6,21.8,75.95,29.83,19.0,39.8,51.92,20.8
2024-08-01,03:01:00,0.0,0.0,0,Cicalino2,20.71,20.6,21.1,75.66,28.16,17.7,38.9,53.07,21.2
2024-08-02,03:00:00,0.0,0.0,0,Cicalino2,20.97,20.6,21.4,86.18,27.77,19.1,37.8,68.94,18.7
2024-08-03,03:00:00,0.0,0.0,1,Cicalino2,22.57,21.9,22.9,88.51,27.31,20.7,38.7,73.08,18.0
2024-08-04,03:01:00,0.0,0.0,0,Cicalino2,19.24,19.1,19.5,96.27,27.27,18.4,37.4,65.01,19.0
2024-08-05,03:00:00,0.0,0.0,0,Cicalino2,20.27,20.1,20.6,82.87,28.41,18.5,37.9,56.92,19.4
2024-08-06,03:04:00,0.0,0.0,0,Cicalino2,19.45,18.9,20.0,88.94,27.47,18.1,37.7,64.73,19.6
2024-08-07,03:02:00,0.0,0.0,0,Cicalino2,17.99,17.7,18.3,90.12,27.02,17.5,36.9,63.87,19.4
2024-08-08,03:01:00,0.0,0.0,0,Cicalino2,19.26,18.3,20.3,83.45,26.99,16.4,36.3,62.64,19.9
2024-08-09,03:04:00,0.0,0.0,1,Cicalino2,20.25,19.9,20.7,95.89,28.18,18.7,37.8,63.15,19.1
2024-08-10,03:00:00,0.0,0.0,0,Cicalino2,20.55,20.1,21.1,66.04,29.91,19.4,40.2,50.72,20.8
2024-08-11,03:04:00,0.0,0.0,0,Cicalino2,21.0,20.7,21.2,81.05,30.01,20.0,40.5,56.29,20.5
2024-08-12,03:03:00,0.0,0.0,0,Cicalino2,21.73,21.5,21.9,78.19,30.04,20.9,40.4,52.56,19.5
2024-08-13,03:01:00,0.0,0.0,0,Cicalino2,20.15,19.9,20.5,63.14,29.18,19.4,39.3,49.48,19.9
2024-08-14,03:00:00,0.0,0.0,0,Cicalino2,20.77,20.6,21.1,88.5,28.17,19.0,38.0,63.27,19.0
2024-08-15,03:04:00,0.0,0.0,0,Cicalino2,21.69,20.7,22.4,78.53,26.15,18.8,38.0,64.67,19.2
2024-08-16,03:03:00,0.0,0.0,0,Cicalino2,20.28,19.8,20.5,82.84,27.57,19.6,38.7,61.19,19.1
2024-08-17,03:02:00,0.0,0.0,0,Cicalino2,24.47,24.2,24.8,73.77,27.44,19.1,36.4,63.23,17.3
2024-08-18,03:01:00,0.0,0.0,1,Cicalino2,20.05,19.6,20.9,93.19,23.56,19.2,33.8,81.61,14.6
2024-08-19,03:01:00,0.0,0.0,0,Cicalino2,19.46,19.1,19.8,88.88,23.15,18.1,32.9,75.22,14.8
2024-08-20,03:00:00,0.0,0.0,0,Cicalino2,17.25,17.1,17.5,97.12,24.37,16.8,33.2,72.15,16.4
2024-08-21,03:04:00,0.0,0.0,0,Cicalino2,21.41,20.0,22.9,91.65,26.21,19.0,34.0,69.4,15.0
2024-08-22,03:03:00,0.0,0.0,0,Cicalino2,19.24,19.1,19.6,88.55,26.88,18.4,36.5,64.01,18.1
2024-08-23,03:03:00,1.0,1.0,0,Cicalino2,19.96,19.6,20.6,88.67,19.66,18.3,21.3,88.44,3.0
2024-07-30,22:01:00,0.0,0.0,0,Imola1,22.43,22.3,22.7,62.64,29.49,21.2,35.5,42.67,14.3
2024-07-31,22:03:00,0.0,0.0,0,Imola1,23.85,23.5,24.1,61.68,28.86,19.3,38.8,51.96,19.5
2024-08-01,22:01:00,0.0,0.0,0,Imola1,26.91,25.5,28.3,57.55,31.1,22.4,40.0,43.79,17.6
2024-08-02,22:03:00,0.0,0.0,0,Imola1,24.42,24.2,24.8,79.93,27.8,19.9,37.3,66.32,17.4
2024-08-03,22:04:00,0.0,0.0,0,Imola1,21.26,20.9,21.5,85.95,25.72,19.7,32.1,72.36,12.4
2024-08-04,22:00:00,0.0,0.0,0,Imola1,21.97,21.7,22.4,70.35,26.97,18.5,35.8,61.31,17.3
2024-08-06,00:02:00,0.0,0.0,0,Imola1,24.16,23.8,24.4,72.69,28.14,20.0,37.3,60.16,17.3
2024-08-07,00:03:00,0.0,0.0,1,Imola1,24.03,23.3,24.7,70.34,27.27,19.1,38.1,64.57,19.0
2024-08-08,00:03:00,0.0,0.0,0,Imola1,19.38,19.2,19.7,96.39,26.31,17.6,35.1,65.68,17.5
2024-08-09,00:00:00,0.0,0.0,0,Imola1,23.42,23.1,23.6,78.05,28.15,19.8,37.6,61.29,17.8
2024-08-10,00:01:00,0.0,0.0,0,Imola1,24.94,24.7,25.4,72.45,29.39,21.6,38.2,56.36,16.6
2024-08-11,00:03:00,0.0,0.0,0,Imola1,24.84,24.7,25.1,69.46,30.03,21.8,38.9,52.98,17.1
2024-08-12,00:04:00,0.0,0.0,1,Imola1,25.89,25.7,26.0,65.47,30.48,22.3,40.2,50.62,17.9
2024-08-13,00:04:00,0.0,0.0,0,Imola1,26.39,26.0,26.9,61.02,30.03,22.2,40.1,52.09,17.9
2024-08-14,00:00:00,0.0,0.0,0,Imola1,26.33,26.0,26.6,58.77,29.18,22.2,40.2,53.81,18.0
2024-08-15,00:02:00,0.0,0.0,0,Imola1,24.5,24.2,24.8,62.48,26.87,20.0,34.5,63.52,14.5
2024-08-16,00:03:00,0.0,0.0,0,Imola1,24.96,24.7,25.2,70.95,28.27,21.4,37.0,61.66,15.6
2024-08-17,00:00:00,1.0,1.0,0,Imola1,24.96,24.5,25.2,71.49,26.78,20.4,37.3,65.99,16.9
2024-08-18,00:01:00,1.0,0.0,1,Imola1,23.21,22.5,24.0,77.9,25.63,21.2,33.7,66.22,12.5
2024-08-19,00:03:00,0.0,0.0,0,Imola1,22.02,21.8,22.3,72.62,21.57,18.3,25.7,84.07,7.4
2024-08-20,00:05:00,4.0,4.0,0,Imola1,20.85,20.8,21.1,95.74,22.9,20.4,28.6,88.51,8.2
2024-08-21,00:01:00,2.0,0.0,0,Imola1,21.77,21.6,22.0,89.04,26.84,20.9,34.4,67.17,13.5
2024-08-22,00:03:00,4.0,2.0,0,Imola1,21.65,21.3,22.0,86.9,25.83,18.9,33.9,72.66,15.0
2024-08-23,00:04:00,5.0,1.0,0,Imola1,23.26,23.1,23.4,88.6,22.86,22.5,23.4,90.53,0.9
2024-07-31,00:00:00,0.0,0.0,0,Imola2,21.55,21.3,22.2,66.85,28.86,19.3,38.8,51.96,19.5
2024-08-01,00:01:00,0.0,0.0,0,Imola2,23.25,22.6,23.9,65.39,31.1,22.4,40.0,43.79,17.6
2024-08-02,00:03:00,0.0,0.0,0,Imola2,27.0,25.7,28.2,55.43,27.8,19.9,37.3,66.32,17.4
2024-08-03,00:00:00,0.0,0.0,1,Imola2,23.88,23.5,24.4,82.83,25.72,19.7,32.1,72.36,12.4
2024-08-04,00:04:00,0.0,0.0,0,Imola2,20.52,20.2,20.7,89.55,26.97,18.5,35.8,61.31,17.3
2024-08-05,00:00:00,0.0,0.0,0,Imola2,20.9,20.6,21.4,76.22,27.51,18.3,37.2,54.84,18.9
2024-08-06,00:01:00,0.0,0.0,0,Imola2,23.67,23.5,24.0,75.8,28.14,20.0,37.3,60.16,17.3
2024-08-07,00:03:00,0.0,0.0,0,Imola2,23.25,22.9,23.7,73.86,27.27,19.1,38.1,64.57,19.0
2024-08-08,00:04:00,0.0,0.0,0,Imola2,19.35,19.2,19.7,96.83,26.31,17.6,35.1,65.68,17.5
2024-08-09,00:04:00,0.0,0.0,0,Imola2,22.87,22.6,23.4,84.11,28.15,19.8,37.6,61.29,17.8
2024-08-10,00:01:00,0.0,0.0,0,Imola2,23.99,23.2,24.9,76.94,29.39,21.6,38.2,56.36,16.6
2024-08-11,00:02:00,0.0,0.0,1,Imola2,23.58,23.4,23.7,76.06,30.03,21.8,38.9,52.98,17.1
2024-08-12,00:00:00,0.0,0.0,0,Imola2,26.3,26.2,26.5,64.15,30.48,22.3,40.2,50.62,17.9
2024-08-13,00:01:00,0.0,0.0,0,Imola2,26.69,26.1,27.4,60.05,30.03,22.2,40.1,52.09,17.9
2024-08-14,00:03:00,0.0,0.0,0,Imola2,26.55,26.0,26.9,58.01,29.18,22.2,40.2,53.81,18.0
2024-08-15,00:04:00,0.0,0.0,0,Imola2,24.37,24.1,24.6,63.63,26.87,20.0,34.5,63.52,14.5
2024-08-16,00:02:00,0.0,0.0,0,Imola2,24.87,24.7,25.2,71.62,28.27,21.4,37.0,61.66,15.6
2024-08-17,00:03:00,0.0,0.0,0,Imola2,24.76,24.2,25.1,72.46,26.78,20.4,37.3,65.99,16.9
2024-08-18,00:00:00,1.0,1.0,1,Imola2,22.13,21.2,23.1,85.38,25.63,21.2,33.7,66.22,12.5
2024-08-19,00:02:00,0.0,0.0,0,Imola2,22.08,21.9,22.3,72.98,21.57,18.3,25.7,84.07,7.4
2024-08-20,00:03:00,0.0,0.0,0,Imola2,20.96,20.9,21.2,95.12,22.9,20.4,28.6,88.51,8.2
2024-08-21,00:05:00,0.0,0.0,0,Imola2,21.88,21.8,22.1,88.89,26.84,20.9,34.4,67.17,13.5
2024-08-22,00:01:00,0.0,0.0,0,Imola2,20.9,20.4,21.5,89.98,25.83,18.9,33.9,72.66,15.0
2024-08-23,00:03:00,0.0,0.0,0,Imola2,22.59,22.5,22.7,92.1,22.86,22.5,23.4,90.53,0.9
2024-08-17,00:02:00,0.0,0.0,0,Imola3,24.63,24.1,24.9,72.48,26.78,20.4,37.3,65.99,16.9
2024-08-18,00:04:00,0.0,0.0,0,Imola3,23.27,22.3,24.1,76.52,25.63,21.2,33.7,66.22,12.5
2024-08-19,00:00:00,0.0,0.0,0,Imola3,22.02,21.9,22.3,72.57,21.57,18.3,25.7,84.07,7.4
2024-08-20,00:02:00,1.0,1.0,0,Imola3,20.92,20.9,21.1,95.15,22.9,20.4,28.6,88.51,8.2
2024-08-21,00:04:00,1.0,0.0,0,Imola3,21.86,21.8,22.2,88.3,26.84,20.9,34.4,67.17,13.5
2024-08-22,00:00:00,2.0,1.0,0,Imola3,20.68,20.2,21.3,90.69,25.83,18.9,33.9,72.66,15.0
2024-08-23,00:02:00,3.0,1.0,0,Imola3,22.74,22.7,22.8,90.89,22.86,22.5,23.4,90.53,0.9
